                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.222,                 8.1369,                0.65929,                 3.1125,                 1.3412,                0.41464,                0.29722,                0.18698,                0.12877,                0.24782,                 0.1112,                0.02746,                 0.0039,                 1.0477,                 5.7252,                0.45259,                 2.0117,                  1.228,              0.0033293,              0.0033293,              0.0033293
                      2,                 1.1746,                 6.0165,                0.59421,                 2.4458,                 1.2728,                 0.4491,                0.35852,                0.21383,                 0.1292,                0.37193,                0.23726,                0.08754,                0.01492,                 1.3149,                 5.3785,                0.38385,                 2.0119,                 1.3926,              0.0065307,              0.0065307,              0.0065307
                      3,                 1.3058,                 6.0993,                 0.5634,                 2.3461,                 1.3457,                0.37261,                0.28082,                 0.1584,                0.08295,                0.29373,                0.12962,                0.04482,                0.00729,                  1.571,                 5.9775,                0.33051,                 2.2312,                 1.6083,              0.0096001,              0.0096001,              0.0096001
                      4,                 1.4136,                  6.391,                0.49808,                 2.3731,                 1.4128,                0.45614,                0.29431,                0.18732,                0.09737,                 0.3813,                 0.1638,                0.06064,                   0.01,                 1.6553,                 5.7495,                0.24926,                 2.0892,                 1.6375,               0.009406,               0.009406,               0.009406
                      5,                 1.3811,                 6.1674,                0.43855,                 2.2588,                 1.3853,                0.48758,                0.30853,                0.23491,                0.13675,                0.39784,                0.15892,                 0.0811,                0.01151,                 1.3868,                 5.6289,                0.20614,                 1.9635,                 1.4479,               0.009208,               0.009208,               0.009208
                      6,                 1.3359,                 5.9761,                 0.4095,                 2.1571,                 1.3556,                0.41596,                0.35462,                0.26889,                0.17284,                0.32001,                0.20486,                0.09597,                0.01478,                 1.2484,                 5.5146,                0.19944,                 1.8394,                  1.354,                0.00901,                0.00901,                0.00901
                      7,                 1.3052,                 5.8356,                0.39149,                 2.0851,                 1.3365,                0.46939,                0.32421,                0.27951,                0.16662,                0.37364,                0.19998,                 0.1153,                0.01956,                 1.3515,                 5.3559,                0.18658,                 1.8176,                 1.4114,               0.008812,               0.008812,               0.008812
                      8,                 1.2801,                 5.7357,                0.37912,                  2.044,                 1.3183,                0.40151,                0.38228,                 0.3021,                 0.2029,                0.29985,                0.23585,                 0.1314,                0.02123,                 1.1331,                 5.3018,                0.18483,                 1.7089,                 1.2727,               0.008614,               0.008614,               0.008614
                      9,                 1.2607,                 5.6126,                0.37237,                 1.9891,                 1.2997,                0.60379,                0.31934,                0.31105,                0.19886,                0.49486,                0.20284,                0.13367,                0.02111,                  1.244,                 5.3144,                0.18013,                 1.6853,                 1.3322,               0.008416,               0.008416,               0.008416
                     10,                 1.2395,                 5.5591,                0.36623,                 1.9398,                 1.2903,                0.50066,                0.37232,                0.33674,                0.22581,                0.41626,                0.24828,                0.17536,                0.03116,                 1.1541,                   5.17,                0.17323,                 1.6184,                 1.2737,               0.008218,               0.008218,               0.008218
